show,album_id,avg_danceability,avg_energy,avg_key,avg_loudness,avg_mode,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo
42nd Street,5RVImCxO2OCYE4OLoYQoyt,0.425428571,0.323378571,3.571428571,-16.22357143,0.714285714,0.109464286,0.833214286,0.010949742,0.108742857,0.402642857,112.109
A Chorus Line,0mC8o2B80XRt0nUgTWZ3zu,0.548428571,0.404047619,6.095238095,-10.54814286,0.904761905,0.19547619,0.799428571,0.022686507,0.184595238,0.487619048,108.2250476
Aida,4K7KChew3H8ckLRz8qOSfv,0.431,0.422,3,-14.995,1,0.0416,0.0447,0.692,0.173,0.142,121.469
Aladdin,4tPmCvpXwBaqbl3ECGbt6T,0.511047619,0.408904762,4,-8.120904762,0.80952381,0.123033333,0.549095238,0.000998501,0.206633333,0.488571429,115.9789524
Avenue Q,4Ok0WpQf9ucxEbd0wJV5Cx,0.611714286,0.34652381,4.857142857,-10.13914286,0.857142857,0.276228571,0.81052381,2.38E-05,0.193104762,0.566238095,122.9905714
Beautiful: The Carole King Musical,7I3jBPoNAjuHVquCTeq9dA,0.56156,0.55436,5.48,-5.35764,0.72,0.039244,0.58496,0.037482944,0.178448,0.66628,131.36908
Beauty and the Beast,3m7UMwSqs8qBFfVttA0qYC,0.3945,0.40517,5.7,-9.6665,0.9,0.051995,0.7687,0.044650531,0.18571,0.32168,100.7655
Cabaret,7b4LQX82Gnt2kZ9I5MUZil,0.4902,0.256424,5.88,-16.3488,0.72,0.139324,0.81108,0.048481945,0.235196,0.5324,117.53016
Cats,7dIID5jd8V3fR2NXkonyD3,0.45,0.385714286,5.095238095,-10.7117619,0.904761905,0.139271429,0.857095238,0.05062928,0.269790476,0.282690476,103.8594286
Chicago,6QZwoX4PcWNdx1m4YTp98s,0.443375,0.366648125,3.6875,-10.18525,0.75,0.1238875,0.462076063,0.000681449,0.20105,0.36755625,89.209375
Come From Away,6SisHkIpxo4JN5kRcBEv9Z,0.587608696,0.517869565,4.652173913,-8.947478261,0.695652174,0.2326,0.499552609,0.032434903,0.217273913,0.519478261,129.6146087
Dear Evan Hansen,61PmcCYa4hA34roDjvTgbk,0.552,0.692,9,-5.54,1,0.0593,0.339,0,0.104,0.543,144.666
Fiddler on the Roof,18DzAOVbSrw9RjOk3oTnzj,0.468357143,0.204292857,5.5,-19.763,0.857142857,0.192735714,0.879785714,0.0538587,0.259164286,0.474285714,123.7722143
Frozen,2rCCUNn3PUaTsKRAKBIzh4,0.421545455,0.350454545,6.136363636,-9.520181818,0.909090909,0.087113636,0.545272727,2.61E-07,0.232727273,0.339077273,113.8612727
Grease,786Anwp3pBYU4G3WFeQZTq,0.56452,0.481992,4.92,-14.75332,0.76,0.155736,0.62748,3.95E-05,0.244688,0.5708,117.792
Hairspray,3XPjEfpawBvohxBMDXwXXW,0.635294118,0.674411765,3.823529412,-6.797176471,0.823529412,0.185582353,0.615941176,7.98E-06,0.245270588,0.572235294,139.8813529
Hamilton,1kCHru7uhxBUdzkm4gzRQc,0.668043478,0.45023913,5.804347826,-9.618043478,0.695652174,0.30903913,0.434923913,1.00E-06,0.21991087,0.50123913,115.7320217
"Hello, Dolly!",4aUAOm4VmcThth7kaOe6tn,0.529846154,0.148330769,4.615384615,-20.24392308,0.615384615,0.321780769,0.889076923,0.009373524,0.429603846,0.5075,111.2294231
In the Heights,3VPHalWocJfe7VfbEW60zg,0.601962963,0.413111111,5.481481481,-9.246703704,0.851851852,0.1732,0.623592593,3.84E-06,0.147577778,0.44932963,110.2122222
Jersey Boys,5sCVURwZOOd13unG0uJmNX,0.660818182,0.654218182,5.363636364,-8.354,0.863636364,0.178454545,0.300613636,0.000606955,0.238590909,0.635772727,130.1237727
Kinky Boots,0VfNZpKsykX5WPuyEdBilR,0.592,0.569733333,5.2,-8.422466667,0.866666667,0.081946667,0.296266667,2.74E-07,0.17124,0.5418,136.301
Les Miserables,4h0K87rOHZXeuOqeXAsah8,0.429129032,0.332377419,5.096774194,-11.30958065,0.838709677,0.077106452,0.903741935,0.007350504,0.161780645,0.310203226,100.3682903
Mamma Mia!,14hC5eBiPUxdPa90eCzwrR,0.566722222,0.572277778,4.888888889,-8.787055556,0.944444444,0.033261111,0.40745,9.46E-06,0.146444444,0.617222222,111.0134444
Mary Poppins,355z4C6T8t2YwHvAjiOMas,0.528761905,0.184219048,3.80952381,-16.23533333,0.761904762,0.143142857,0.782952381,0.00473769,0.265852381,0.448095238,114.3844286
Matilda The Musical,4TMFJM8OsgA2RwwYySNhmU,0.600705882,0.394288235,6.529411765,-9.643882353,0.823529412,0.229705882,0.6,0.029532559,0.147970588,0.412470588,106.4428235
Mean Girls,3Jn51ziqTWEYKy131yrrkM,0.773,0.603,10,-7.879,1,0.0464,0.554,0,0.111,0.709,135.046
Memphis,4VYJtAzNUWPZfAGLh9iEcm,0.51585,0.615,4.55,-6.2545,0.9,0.067345,0.384895,0.016993008,0.152125,0.5494,137.49825
Miss Saigon,7tJqlEZ6tnIddw8gmvD9jG,0.388666667,0.333563636,6,-13.21790909,0.606060606,0.135727273,0.711030303,0.027386271,0.489575758,0.263069697,110.0445455
Motown The Musical,1w0e2q4rgmvFKWVrqQ3eey,0.560857143,0.663928571,6.5,-6.784142857,0.785714286,0.088371429,0.12136,0,0.210542857,0.596428571,116.5939286
Newsies,2eeKB2KD7VwbWtcovqLzpS,0.544176471,0.353529412,5.882352941,-10.74823529,0.941176471,0.108647059,0.576882353,0.042588488,0.104217647,0.467117647,126.4517059
Once,18VxHEz4lmRqgG4GOvRox3,0.34673125,0.29995625,4.875,-18.3304375,0.3125,0.0575375,0.59631875,0.781437816,0.10208125,0.0713125,109.982125
Rent,5H8ZhTwdPIwax6ugXMqwBk,0.516022727,0.460954545,4.045454545,-10.00318182,0.840909091,0.215761364,0.421837636,0.018034879,0.457634091,0.395990909,118.1613864
Rock of Ages,6w2tQt07nPK5ZFdqypLyO3,0.492608696,0.623695652,5.826086957,-7.04926087,0.782608696,0.115286957,0.193750435,9.80E-05,0.171165217,0.430913043,120.8097826
School of Rock - The Musical,05btYRpojJ7muQ3r6YAF4N,0.50335,0.6572,5.1,-5.9015,0.95,0.142325,0.355666,0.000417875,0.286825,0.50206,139.4483
Spamalot,07p04nWknBeboH3JkPwbZW,0.528708333,0.504495833,5.291666667,-10.50458333,0.791666667,0.354466667,0.4778,0.008834337,0.311679167,0.540541667,121.6761667
Spider-Man Turn Off the Dark,0K3FDXHtTODTgxR12HTHgW,0.45,0.643571429,7.357142857,-6.866428571,0.5,0.043378571,0.287746929,0.094148264,0.154621429,0.32545,111.8919286
Sunset Boulevard,0dTZmPIYidWSINfyQlm94q,0.39365625,0.254334375,4.90625,-14.43009375,0.78125,0.1021375,0.77409375,0.060881973,0.28288125,0.3291,111.3192188
The Book of Mormon,5yauUuXppqUj2ulor38hvI,0.533625,0.4884375,3.5625,-10.2241875,0.9375,0.29036875,0.568875,1.08E-07,0.21198125,0.472,136.5028125
The Color Purple,459ZjCdjlYYRARycBpEm2B,0.521344828,0.291936897,5.482758621,-12.65351724,0.620689655,0.214168966,0.72,0.025156464,0.261727586,0.416172414,121.7809655
The King and I,6ikuKUGFjxV5G7aQzs7al0,0.426666667,0.198633333,6.083333333,-12.80675,1,0.08695,0.856833333,0.149333782,0.220033333,0.396041667,100.1599167
The Lion King,1y6p6tINBthUWsQVQJmiYK,0.4638,0.38175,4.55,-11.84155,0.75,0.11797,0.74305,0.075463479,0.181405,0.44828,102.0047
The Phantom of the Opera,1zwEN9cLtWg39zFJnj8brt,0.2655,0.181607143,4.214285714,-18.9115,0.928571429,0.042257143,0.728328286,0.002480283,0.184435714,0.209892857,104.3056429
The Producers,1OD5J8DxkYyS0WBOnuX4OX,0.5281,0.43435,3.95,-11.4973,0.75,0.298795,0.7754,0.014850387,0.383905,0.57035,117.96735
