show,album_id,album_name,total_tracks
42nd Street,5RVImCxO2OCYE4OLoYQoyt,42nd Street (Original Cast Recording),14
A Chorus Line,0mC8o2B80XRt0nUgTWZ3zu,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),21
Aida,4K7KChew3H8ckLRz8qOSfv,"Manteltanz (From the Musical ""Aida"") [Premium Karaoke Version] (Originally Performed By Original Alliance Theatre Cast of Aida)",1
Aladdin,4tPmCvpXwBaqbl3ECGbt6T,Aladdin Original Broadway Cast Recording,21
Avenue Q,4Ok0WpQf9ucxEbd0wJV5Cx,Avenue Q (Original Broadway Cast Recording),21
Beautiful: The Carole King Musical,7I3jBPoNAjuHVquCTeq9dA,Beautiful: The Carole King Musical (Original Broadway Cast Recording),25
Beauty and the Beast,3m7UMwSqs8qBFfVttA0qYC,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano],20
Cabaret,7b4LQX82Gnt2kZ9I5MUZil,Cabaret (Original Broadway Cast Recording),25
Cats,7dIID5jd8V3fR2NXkonyD3,Cats (Original Broadway Cast Recording / 1983),21
Chicago,6QZwoX4PcWNdx1m4YTp98s,Twisted (Original Chicago Cast Recording),16
Come From Away,6SisHkIpxo4JN5kRcBEv9Z,Come From Away (Original Broadway Cast Recording),23
Dear Evan Hansen,61PmcCYa4hA34roDjvTgbk,Waving Through A Window (from Dear Evan Hansen [Original Broadway Cast Recording]),1
Fiddler on the Roof,18DzAOVbSrw9RjOk3oTnzj,Fiddler on the Roof (Original Broadway Cast Recording),14
Frozen,2rCCUNn3PUaTsKRAKBIzh4,Frozen: The Broadway Musical (Original Broadway Cast Recording),22
Grease,786Anwp3pBYU4G3WFeQZTq,Grease,25
Hairspray,3XPjEfpawBvohxBMDXwXXW,Hairspray (Original Broadway Cast Recording),17
Hamilton,1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),46
"Hello, Dolly!",4aUAOm4VmcThth7kaOe6tn,"Hello, Dolly! (Original Broadway Cast Recording)",26
In the Heights,3VPHalWocJfe7VfbEW60zg,In The Heights (Original Broadway Cast Recording),27
Jersey Boys,5sCVURwZOOd13unG0uJmNX,Jersey Boys Original Broadway Cast Recording,22
Kinky Boots,0VfNZpKsykX5WPuyEdBilR,Kinky Boots (Original Broadway Cast Recording),15
Les Miserables,4h0K87rOHZXeuOqeXAsah8,Les Miserables (The Original London Cast Recording),31
Mamma Mia!,14hC5eBiPUxdPa90eCzwrR,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),18
Mary Poppins,355z4C6T8t2YwHvAjiOMas,Mary Poppins Original London Cast Recording,21
Matilda The Musical,4TMFJM8OsgA2RwwYySNhmU,Matilda the Musical (Original London Cast Recording),17
Mean Girls,3Jn51ziqTWEYKy131yrrkM,I'd Rather Be Me (From Mean Girls Original Cast Recording),1
Memphis,4VYJtAzNUWPZfAGLh9iEcm,Memphis: A New Musical [Original Cast Recording],20
Miss Saigon,7tJqlEZ6tnIddw8gmvD9jG,Miss Saigon: The Definitive Live Recording (Original Cast Recording / Deluxe),33
Motown The Musical,1w0e2q4rgmvFKWVrqQ3eey,Motown The Musical (Original Broadway Cast Recording),14
Newsies,2eeKB2KD7VwbWtcovqLzpS,Newsies (Original Broadway Cast Recording),17
Once,18VxHEz4lmRqgG4GOvRox3,Utopia Falls: Season One (Original Score),16
Rent,5H8ZhTwdPIwax6ugXMqwBk,Rent (Original Soundtrack of the Fox Live Television Event),44
Rock of Ages,6w2tQt07nPK5ZFdqypLyO3,Rock of Ages (Original Broadway Cast Recording),23
School of Rock - The Musical,05btYRpojJ7muQ3r6YAF4N,School of Rock: The Musical (Original Cast Recording),20
Spamalot,07p04nWknBeboH3JkPwbZW,Monty Phyton�s Spamal,24
Spider-Man Turn Off the Dark,0K3FDXHtTODTgxR12HTHgW,Spider-Man Turn Off The Dark,14
Sunset Boulevard,0dTZmPIYidWSINfyQlm94q,Sunset Boulevard (Original Broadway Cast),32
The Book of Mormon,5yauUuXppqUj2ulor38hvI,The Book Of Mormon (Original Broadway Cast Recording),16
The Color Purple,459ZjCdjlYYRARycBpEm2B,"Oprah Winfrey Presents: The Color Purple, A New Musical (Original Broadway Cast Recording)",29
The King and I,6ikuKUGFjxV5G7aQzs7al0,The King and I (Original Broadway Cast),12
The Lion King,1y6p6tINBthUWsQVQJmiYK,The Lion King: Original Broadway Cast Recording,20
The Phantom of the Opera,1zwEN9cLtWg39zFJnj8brt,The Phantom Of The Opera (Original Motion Picture Soundtrack),14
The Producers,1OD5J8DxkYyS0WBOnuX4OX,The Producers (Original Broadway Cast Recording),20
Waitress,1E1tdqqLmyi03P0TJhGuw8,Waitress (Original Broadway Cast Recording),22
West Side Story,3knRTstKrILa8wx8IGGqn6,West Side Story (Original Broadway Cast Recording),25
Wicked,1woCvthHJakakroP6dXNxs,Wicked (Original Broadway Cast Recording / Deluxe Edition),28
A Funny Thing Happened on the Way to the Forum,61QJnZ8P7RzoRx0e3KGy3I,A Funny Thing Happened On The Way To The Forum (Original Broadway Cast),15
A Gentleman's Guide to Love and Murder,1uCR6BcuolVN7Fk61dtTfI,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),23
Ain't Too Proud-The Life and Times of the Temptations,53HLTRRmSjHtuybrSK32fV,Ain't Too Proud: The Life And Times Of The Temptations (Original Broadway Cast Recording),29
An American in Paris,3YWaf7O1V2tZ7bQgw5LhpP,An American in Paris (Original Broadway Cast Recording),17
Anastasia,2dDzJlbHoVGKMGZF4wQfla,Anastasia (Original Broadway Cast Recording),25
Annie,0T1lQv20NNCoFlZkVHN3SQ,Annie (Original Broadway Cast Recording),27
Annie Get Your Gun,1IDWNeKQAJWJL2ysC2k1u2,Annie Get Your Gun (Original Broadway Cast / Bonus Tracks),16
Anything Goes,7cKucD1vGPK1fvlG40bsWg,Cole Porter: Anything Goes (Original 1935 London Cast),7
