trackname,track_id,track_number,duration_ms,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,show
Overture / Audition,4ROn85wqzvi0BzUnj1TOd5,1,283000,5RVImCxO2OCYE4OLoYQoyt,0.49,0.675,5,-12.695,0,0.284,0.794,0.145,0.0775,0.547,94.295,42nd Street
Shadow Waltz,47dXUALoTQaCHE5WoIDrKp,2,209826,5RVImCxO2OCYE4OLoYQoyt,0.371,0.062,9,-21.422,0,0.0347,0.958,5.31E-05,0.179,0.187,137.974,42nd Street
Young and Healthy,3X72aOsdJGuOXWLW3R3g17,3,135493,5RVImCxO2OCYE4OLoYQoyt,0.484,0.127,0,-20.467,1,0.0406,0.945,0,0.132,0.311,90.849,42nd Street
Go into Your Dance,4aBF1Tlol9fCG0mTCt5Abg,4,203000,5RVImCxO2OCYE4OLoYQoyt,0.561,0.667,8,-14.945,1,0.203,0.757,0.000639,0.105,0.477,133.198,42nd Street
You're Getting to Be a Habit with Me,5HmGGPZzsZStnleeqsRkQk,5,122893,5RVImCxO2OCYE4OLoYQoyt,0.454,0.13,8,-18.41,0,0.0613,0.872,3.52E-05,0.111,0.373,66.722,42nd Street
Getting Out of Town,0CNAObKz2jAqpIRsYzMUAz,6,102586,5RVImCxO2OCYE4OLoYQoyt,0.549,0.416,3,-13.525,1,0.0396,0.749,4.35E-06,0.0995,0.613,84.851,42nd Street
We're in the Money,2ERPJP3ISt4fTPKjD8wUi4,7,188866,5RVImCxO2OCYE4OLoYQoyt,0.536,0.42,0,-12.661,1,0.048,0.744,0.000282,0.0344,0.609,104.409,42nd Street
Dames,1AmeuheVO32dnEv23DvShm,8,202253,5RVImCxO2OCYE4OLoYQoyt,0.312,0.318,10,-14.229,1,0.0406,0.907,0,0.147,0.41,176.906,42nd Street
Sunny Side to Every Situation,7aGPNdMfymegtIO0j7MsuT,9,140106,5RVImCxO2OCYE4OLoYQoyt,0.374,0.13,3,-18.92,1,0.0348,0.846,4.09E-06,0.15,0.503,139.174,42nd Street
Lullaby of Broadway,5kAwWMrtIElxbnUjTL65PT,10,302026,5RVImCxO2OCYE4OLoYQoyt,0.315,0.331,0,-13.533,1,0.0477,0.889,1.16E-06,0.163,0.346,81.277,42nd Street
About a Quarter to Nine,5VP2luWhwqZZcydFwJyRPp,11,136293,5RVImCxO2OCYE4OLoYQoyt,0.406,0.0393,1,-20.788,1,0.0346,0.929,9.49E-06,0.0922,0.279,140.645,42nd Street
Shuffle Off to Buffalo,3ve4RsUm6R6iYWtPFKjZZJ,12,230200,5RVImCxO2OCYE4OLoYQoyt,0.413,0.326,0,-15.967,1,0.06,0.87,0.000188,0.116,0.603,146.431,42nd Street
42nd Street,5BTmAlpD51E5FgcTQKjV4e,13,444946,5RVImCxO2OCYE4OLoYQoyt,0.4,0.576,0,-15.012,1,0.562,0.698,0.00708,0.0557,0.222,87.277,42nd Street
Finale: 42nd Street (Reprise) / Bows,0NIwHd452tFZDEqwuPGPc4,14,193600,5RVImCxO2OCYE4OLoYQoyt,0.291,0.31,3,-14.556,0,0.0416,0.707,0,0.0601,0.157,85.518,42nd Street
Opening: I Hope I Get It,5uLJs22lp56og5snNm3g32,1,298613,0mC8o2B80XRt0nUgTWZ3zu,0.462,0.709,9,-7.994,1,0.501,0.758,5.97E-06,0.137,0.439,81.615,A Chorus Line
I Can Do That,3WpLMYIpFXFvLRRiOl5iGk,2,93640,0mC8o2B80XRt0nUgTWZ3zu,0.659,0.694,3,-7.405,1,0.247,0.626,3.71E-06,0.0997,0.742,97.638,A Chorus Line
At the Ballet,2XUMDFZUpqO0vaRuEgvCFO,3,354173,0mC8o2B80XRt0nUgTWZ3zu,0.477,0.366,7,-9.931,1,0.0468,0.821,0,0.101,0.29,93.648,A Chorus Line
Sing!,2z9xTlAwJgaTCYVeRZfEIy,4,113493,0mC8o2B80XRt0nUgTWZ3zu,0.696,0.427,4,-9.344,1,0.281,0.848,0,0.361,0.676,78.636,A Chorus Line
